source_route,source_version,visible_label,element_type,original_webflow_destination,webflow_export_destination,current_rebuild_destination,match,deliberately_changed_by_new_cta_rules,internal_or_external,current_http_status,opens_new_tab,intended_destination_confirmed,same_site_absolute_url,direct_cal_url_outside_contact,webflow_dependency,old_vercel_project_url,placeholder_dead_action,classification,fix_applied,notes
/,VERCEL_REBUILD,Learn more,a,,,/contact,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/,VERCEL_REBUILD,05Trade Show & Print,summary,,,ACTION:accordion-toggle,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/,VERCEL_REBUILD,Learn more,a,,,/contact,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/,VERCEL_REBUILD,Book an application call,a,previous rebuild BOOKING_URL -> https://cal.com/nexubis/30min,,/contact,INTENTIONAL_CHANGE,yes,internal,200,no,no,no,no,no,no,no,INTENTIONAL_CONTACT_REDIRECT,lib/site-config.ts BOOKING_URL changed to /contact,
/,VERCEL_REBUILD,Check my brand's credibility,a,,,/scorecard,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/,VERCEL_REBUILD,Play Oxipack showreel,button,,,ACTION:button,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/,VERCEL_REBUILD,Read the full case study,a,,,/work/oxipack,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/,VERCEL_REBUILD,Book an application call,a,previous rebuild BOOKING_URL -> https://cal.com/nexubis/30min,,/contact,INTENTIONAL_CHANGE,yes,internal,200,no,no,no,no,no,no,no,INTENTIONAL_CONTACT_REDIRECT,lib/site-config.ts BOOKING_URL changed to /contact,
/,VERCEL_REBUILD,We already work with an agency and a few freelancers. Why switch?,summary,,,ACTION:accordion-toggle,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/,VERCEL_REBUILD,How does pricing work?,summary,,,ACTION:accordion-toggle,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/,VERCEL_REBUILD,What if we don't have enough work every month?,summary,,,ACTION:accordion-toggle,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/,VERCEL_REBUILD,Our products are technical. Will you actually understand them?,summary,,,ACTION:accordion-toggle,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/,VERCEL_REBUILD,Are we locked into a long contract?,summary,,,ACTION:accordion-toggle,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/,VERCEL_REBUILD,Why an application call instead of a generic sales call?,summary,,,ACTION:accordion-toggle,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/,VERCEL_REBUILD,How do we know the quality before paying?,summary,,,ACTION:accordion-toggle,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/,VERCEL_REBUILD,About,a,,,/about,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/,VERCEL_REBUILD,What we do,a,,,/#what-we-do,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/,VERCEL_REBUILD,Work / Case studies,a,,,/work,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/,VERCEL_REBUILD,Brand Credibility Scorecard,a,,,/scorecard,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/,VERCEL_REBUILD,Contact,a,/contact,contact.html,/contact,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,Live/export disagree: live=/contact; export=contact.html
/,VERCEL_REBUILD,LinkedIn,a,https://www.linkedin.com/company/nexubis/,https://www.linkedin.com/company/nexubis/,https://www.linkedin.com/company/nexubis/,true,no,external,200,yes,yes,no,no,no,no,no,EXTERNAL_VALID,,
/,VERCEL_REBUILD,Instagram,a,https://www.instagram.com/nexubis.design/,https://www.instagram.com/nexubis.design/,https://www.instagram.com/nexubis.design/,true,no,external,200,yes,yes,no,no,no,no,no,EXTERNAL_VALID,,
/about,VERCEL_REBUILD,Nexubis home,a,,,/,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/about,VERCEL_REBUILD,Case Studies,button,,,ACTION:button,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/about,VERCEL_REBUILD,Altify,a,,,/work/altify,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/about,VERCEL_REBUILD,Circuit,a,,,/work/circuit,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/about,VERCEL_REBUILD,Oxipack,a,,,/work/oxipack,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/about,VERCEL_REBUILD,Packages,a,/packages,packages.html,/packages,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,Live/export disagree: live=/packages; export=packages.html
/about,VERCEL_REBUILD,Dreamlab,a,/blog,blog.html,/blog,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,Live/export disagree: live=/blog; export=blog.html
/about,VERCEL_REBUILD,Book an application callBook a Call,a,previous rebuild BOOKING_URL -> https://cal.com/nexubis/30min,,/contact,INTENTIONAL_CHANGE,yes,internal,200,no,no,no,no,no,no,no,INTENTIONAL_CONTACT_REDIRECT,lib/site-config.ts BOOKING_URL changed to /contact,
/about,VERCEL_REBUILD,Open menu,button,,,ACTION:button,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/about,VERCEL_REBUILD,Home,a,,,/,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/about,VERCEL_REBUILD,Dreamlab,a,,,/blog,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/about,VERCEL_REBUILD,Pricing,a,/packages,packages.html,/packages,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,Live/export disagree: live=/packages; export=packages.html
/about,VERCEL_REBUILD,Case Studies,button,,,ACTION:button,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/about,VERCEL_REBUILD,Altify,a,,,/work/altify,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/about,VERCEL_REBUILD,Circuit,a,,,/work/circuit,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/about,VERCEL_REBUILD,Oxipack,a,,,/work/oxipack,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/about,VERCEL_REBUILD,About,a,,,/about,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/about,VERCEL_REBUILD,What we do,a,,,/#what-we-do,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/about,VERCEL_REBUILD,Work / Case studies,a,,,/work,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/about,VERCEL_REBUILD,Brand Credibility Scorecard,a,,,/scorecard,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/about,VERCEL_REBUILD,Contact,a,/contact,contact.html,/contact,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,Live/export disagree: live=/contact; export=contact.html
/about,VERCEL_REBUILD,LinkedIn,a,https://www.linkedin.com/company/nexubis/,https://www.linkedin.com/company/nexubis/,https://www.linkedin.com/company/nexubis/,true,no,external,200,yes,yes,no,no,no,no,no,EXTERNAL_VALID,,
/about,VERCEL_REBUILD,Instagram,a,https://www.instagram.com/nexubis.design/,https://www.instagram.com/nexubis.design/,https://www.instagram.com/nexubis.design/,true,no,external,200,yes,yes,no,no,no,no,no,EXTERNAL_VALID,,
/work,VERCEL_REBUILD,Nexubis home,a,,,/,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/work,VERCEL_REBUILD,Case Studies,button,,,ACTION:button,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/work,VERCEL_REBUILD,Altify,a,https://www.nexubis.io/work/altify,https://www.nexubis.io/work/altify,/work/altify,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/work,VERCEL_REBUILD,Circuit,a,https://www.nexubis.io/work/circuit,https://www.nexubis.io/work/circuit,/work/circuit,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/work,VERCEL_REBUILD,Oxipack,a,https://www.nexubis.io/work/oxipack,https://www.nexubis.io/work/oxipack,/work/oxipack,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/work,VERCEL_REBUILD,Packages,a,/packages,packages.html,/packages,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,Live/export disagree: live=/packages; export=packages.html
/work,VERCEL_REBUILD,Dreamlab,a,/blog,blog.html,/blog,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,Live/export disagree: live=/blog; export=blog.html
/work,VERCEL_REBUILD,Book an application callBook a Call,a,previous rebuild BOOKING_URL -> https://cal.com/nexubis/30min,,/contact,INTENTIONAL_CHANGE,yes,internal,200,no,no,no,no,no,no,no,INTENTIONAL_CONTACT_REDIRECT,lib/site-config.ts BOOKING_URL changed to /contact,
/work,VERCEL_REBUILD,Open menu,button,,,ACTION:button,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/work,VERCEL_REBUILD,Home,a,/,index.html,/,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,Live/export disagree: live=/; export=index.html
/work,VERCEL_REBUILD,Dreamlab,a,/blog,blog.html,/blog,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,Live/export disagree: live=/blog; export=blog.html
/work,VERCEL_REBUILD,Pricing,a,/packages,packages.html,/packages,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,Live/export disagree: live=/packages; export=packages.html
/work,VERCEL_REBUILD,Case Studies,button,,,ACTION:button,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/work,VERCEL_REBUILD,Altify,a,https://www.nexubis.io/work/altify,https://www.nexubis.io/work/altify,/work/altify,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/work,VERCEL_REBUILD,Circuit,a,https://www.nexubis.io/work/circuit,https://www.nexubis.io/work/circuit,/work/circuit,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/work,VERCEL_REBUILD,Oxipack,a,https://www.nexubis.io/work/oxipack,https://www.nexubis.io/work/oxipack,/work/oxipack,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/work,VERCEL_REBUILD,Circuit Rebrand and Website launch,a,/work/circuit,,/work/circuit,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/work,VERCEL_REBUILD,Altify Merger Relaunch,a,/work/altify,,/work/altify,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/work,VERCEL_REBUILD,Oxipack Website Redesign and Rebuild,a,/work/oxipack,,/work/oxipack,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/work,VERCEL_REBUILD,About,a,,,/about,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/work,VERCEL_REBUILD,What we do,a,,,/#what-we-do,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/work,VERCEL_REBUILD,Work / Case studies,a,,,/work,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/work,VERCEL_REBUILD,Brand Credibility Scorecard,a,,,/scorecard,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/work,VERCEL_REBUILD,Contact,a,/contact,contact.html,/contact,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,Live/export disagree: live=/contact; export=contact.html
/work,VERCEL_REBUILD,LinkedIn,a,https://www.linkedin.com/company/nexubis/,https://www.linkedin.com/company/nexubis/,https://www.linkedin.com/company/nexubis/,true,no,external,200,yes,yes,no,no,no,no,no,EXTERNAL_VALID,,
/work,VERCEL_REBUILD,Instagram,a,https://www.instagram.com/nexubis.design/,https://www.instagram.com/nexubis.design/,https://www.instagram.com/nexubis.design/,true,no,external,200,yes,yes,no,no,no,no,no,EXTERNAL_VALID,,
/work/altify,VERCEL_REBUILD,Nexubis home,a,,,/,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/work/altify,VERCEL_REBUILD,Case Studies,button,,,ACTION:button,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/work/altify,VERCEL_REBUILD,Altify,a,https://www.nexubis.io/work/altify,,/work/altify,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/work/altify,VERCEL_REBUILD,Circuit,a,https://www.nexubis.io/work/circuit,,/work/circuit,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/work/altify,VERCEL_REBUILD,Oxipack,a,https://www.nexubis.io/work/oxipack,,/work/oxipack,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/work/altify,VERCEL_REBUILD,Packages,a,/packages,,/packages,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/work/altify,VERCEL_REBUILD,Dreamlab,a,/blog,,/blog,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/work/altify,VERCEL_REBUILD,Book an application callBook a Call,a,previous rebuild BOOKING_URL -> https://cal.com/nexubis/30min,,/contact,INTENTIONAL_CHANGE,yes,internal,200,no,no,no,no,no,no,no,INTENTIONAL_CONTACT_REDIRECT,lib/site-config.ts BOOKING_URL changed to /contact,
/work/altify,VERCEL_REBUILD,Open menu,button,,,ACTION:button,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/work/altify,VERCEL_REBUILD,Home,a,/,,/,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/work/altify,VERCEL_REBUILD,Dreamlab,a,/blog,,/blog,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/work/altify,VERCEL_REBUILD,Pricing,a,/packages,,/packages,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/work/altify,VERCEL_REBUILD,Case Studies,button,,,ACTION:button,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/work/altify,VERCEL_REBUILD,Altify,a,https://www.nexubis.io/work/altify,,/work/altify,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/work/altify,VERCEL_REBUILD,Circuit,a,https://www.nexubis.io/work/circuit,,/work/circuit,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/work/altify,VERCEL_REBUILD,Oxipack,a,https://www.nexubis.io/work/oxipack,,/work/oxipack,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/work/altify,VERCEL_REBUILD,Unmute showreel,button,,,ACTION:button,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/work/altify,VERCEL_REBUILD,Visit Altify website,a,,,https://www.altify.app/,NO_ORIGINAL_MATCH,no,external,200,yes,no,no,no,no,no,no,EXTERNAL_VALID,,
/work/altify,VERCEL_REBUILD,Visit Altify on LinkedIn,a,,,https://www.linkedin.com/company/altifyinvest/,NO_ORIGINAL_MATCH,no,external,200,yes,no,no,no,no,no,no,EXTERNAL_VALID,,
/work/altify,VERCEL_REBUILD,Visit Altify on X,a,,,https://x.com/Altifyinvest,NO_ORIGINAL_MATCH,no,external,200,yes,no,no,no,no,no,no,EXTERNAL_VALID,,
/work/altify,VERCEL_REBUILD,Visit Altify on Facebook,a,,,https://www.facebook.com/AltifyInvest/,NO_ORIGINAL_MATCH,no,external,200,yes,no,no,no,no,no,no,EXTERNAL_VALID,,
/work/altify,VERCEL_REBUILD,Altify: Empowering NexubisRead the full story here→,a,,,/post/altify-empowering-nexubis,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/work/altify,VERCEL_REBUILD,"Circuit Rebrand and Website launchWeb3 recovery had no clear language. Complex custody mechanics, abstract failover logic, and fragmented communication made it hard for compliance teams, engineers, and executives to understand, or trust, how assets could be protected when things went wrong.See More→",a,,,/work/circuit,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/work/altify,VERCEL_REBUILD,"Oxipack Website Redesign and RebuildIndustrial brands often struggle to communicate innovation in a category known for complexity, cluttered messaging, and outdated digital systems. Oxipack's breakthrough technology in non-destructive leak detection deserved a platform that matched its precision, sustainability, and global scale.See More→",a,,,/work/oxipack,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/work/altify,VERCEL_REBUILD,About,a,,,/about,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/work/altify,VERCEL_REBUILD,What we do,a,,,/#what-we-do,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/work/altify,VERCEL_REBUILD,Work / Case studies,a,,,/work,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/work/altify,VERCEL_REBUILD,Brand Credibility Scorecard,a,,,/scorecard,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/work/altify,VERCEL_REBUILD,Contact,a,/contact,,/contact,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/work/altify,VERCEL_REBUILD,LinkedIn,a,https://www.linkedin.com/company/nexubis/,,https://www.linkedin.com/company/nexubis/,true,no,external,200,yes,yes,no,no,no,no,no,EXTERNAL_VALID,,
/work/altify,VERCEL_REBUILD,Instagram,a,https://www.instagram.com/nexubis.design/,,https://www.instagram.com/nexubis.design/,true,no,external,200,yes,yes,no,no,no,no,no,EXTERNAL_VALID,,
/work/circuit,VERCEL_REBUILD,Nexubis home,a,,,/,NO_ORIGINAL_MATCH,no,internal,200,no,no,no,no,no,no,no,INTERNAL_VALID,,
/work/circuit,VERCEL_REBUILD,Case Studies,button,,,ACTION:button,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/work/circuit,VERCEL_REBUILD,Altify,a,https://www.nexubis.io/work/altify,,/work/altify,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/work/circuit,VERCEL_REBUILD,Circuit,a,https://www.nexubis.io/work/circuit,,/work/circuit,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/work/circuit,VERCEL_REBUILD,Oxipack,a,https://www.nexubis.io/work/oxipack,,/work/oxipack,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/work/circuit,VERCEL_REBUILD,Packages,a,/packages,,/packages,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/work/circuit,VERCEL_REBUILD,Dreamlab,a,/blog,,/blog,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
/work/circuit,VERCEL_REBUILD,Book an application callBook a Call,a,previous rebuild BOOKING_URL -> https://cal.com/nexubis/30min,,/contact,INTENTIONAL_CHANGE,yes,internal,200,no,no,no,no,no,no,no,INTENTIONAL_CONTACT_REDIRECT,lib/site-config.ts BOOKING_URL changed to /contact,
/work/circuit,VERCEL_REBUILD,Open menu,button,,,ACTION:button,NO_ORIGINAL_MATCH,no,action,,no,yes,no,no,no,no,no,FUNCTIONAL_ACTION,,
/work/circuit,VERCEL_REBUILD,Home,a,/,,/,true,no,internal,200,no,yes,no,no,no,no,no,INTERNAL_VALID,,
