postTitle,postSlug,sanityId,anchorText,originalWebflowHref,finalStoredHref,classification,status,reason,blockKey,mutationType,destinationVerified
"For Professionals, By Professionals",for-professionals-by-professionals,post-for-professionals-by-professionals,working hard,https://www.nexubis.io/post/straight-line-thinking,/post/straight-line-thinking,INTERNAL_BLOG,MANUAL_REVIEW_REQUIRED,"Expected one text range, found 0.",,,LIVE_200
Goals vs. Movement,goals-vs-movement,post-goals-vs-movement,last week’s article,https://www.nexubis.io/post/2025-in-retrospect,/post/2025-in-retrospect,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,but,,LIVE_200
How We Landed on Empowering Dreams,how-we-landed-on-empowering-dreams,post-how-we-landed-on-empowering-dreams,video below,https://www.instagram.com/reel/DDJvaunKvVL/?igsh=bWc2ZWM5aHNqcWJ5,https://www.instagram.com/reel/DDJvaunKvVL/?igsh=bWc2ZWM5aHNqcWJ5,EXTERNAL,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b83,,PRESERVED_EXTERNAL
Long-Term Greed,long-term-greed,post-long-term-greed,previous article,https://www.nexubis.io/post/dick-proves-the-agency-stereotype,/post/dick-proves-the-agency-stereotype,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,byh,,LIVE_200
Oxipack: Funding Nexubis,oxipack-empowering-nexubis,post-oxipack-empowering-nexubis,here,https://www.nexubis.io/post/altify-empowering-nexubis,/post/altify-empowering-nexubis,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b2u,,LIVE_200
Pick Your Battles,pick-your-battles,post-pick-your-battles,Your Perception Is Your Reality:,https://www.nexubis.io/post/your-perception-is-your-reality,/post/your-perception-is-your-reality,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,brt,,LIVE_200
Pick Your Battles,pick-your-battles,post-pick-your-battles,Resentment Is a Symptom of Poor Process:,https://www.nexubis.io/post/resentment-is-a-symptom-of-poor-process,/post/resentment-is-a-symptom-of-poor-process,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,bsl,,LIVE_200
Resentment Is a Symptom of Poor Process,resentment-is-a-symptom-of-poor-process,post-resentment-is-a-symptom-of-poor-process,“Process vs. People”,/post/the-process-or-people-problem,/post/the-process-or-people-problem,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b2v,,LIVE_200
Startups Don’t Need More Features,startups-dont-need-more-features,post-startups-dont-need-more-features,If it ain’t broke — refine it.,https://www.nexubis.io/post/if-it-aint-broke-refine-it,/post/if-it-aint-broke-refine-it,INTERNAL_BLOG,MANUAL_REVIEW_REQUIRED,"Expected one text range, found 0.",,,LIVE_200
Stop Selling Time. Start Delivering Value.,stop-selling-time-start-delivering-value,post-stop-selling-time-start-delivering-value,Referral Program →,https://www.nexubis.io/post/the-nexubis-referral-program,/post/the-nexubis-referral-program,INTERNAL_BLOG,MANUAL_REVIEW_REQUIRED,"Expected one text range, found 0.",,,LIVE_200
The Age of AGI,the-age-of-agi,post-the-age-of-agi,The New Creative Stack,https://www.nexubis.io/post/the-new-creative-stack,/post/the-new-creative-stack,INTERNAL_BLOG,MANUAL_REVIEW_REQUIRED,"Expected one text range, found 0.",,,LIVE_200
The Age of AGI,the-age-of-agi,post-the-age-of-agi,Automation is Not the Enemy,https://www.nexubis.io/post/automation-is-not-the-enemy,/post/automation-is-not-the-enemy,INTERNAL_BLOG,MANUAL_REVIEW_REQUIRED,"Expected one text range, found 0.",,,LIVE_200
The Age of AGI,the-age-of-agi,post-the-age-of-agi,You’re Not Ready for What’s Coming,https://www.nexubis.io/post/youre-not-ready-for-whats-coming,/post/youre-not-ready-for-whats-coming,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,bzj,,LIVE_200
The Builders Will Survive,the-builders-will-survive,post-the-builders-will-survive,The New Creative Stack,https://www.nexubis.io/post/the-new-creative-stack,/post/the-new-creative-stack,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,bui,,LIVE_200
The Builders Will Survive,the-builders-will-survive,post-the-builders-will-survive,Automation is Not the Enemy,https://www.nexubis.io/post/automation-is-not-the-enemy,/post/automation-is-not-the-enemy,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,bun,,LIVE_200
The Builders Will Survive,the-builders-will-survive,post-the-builders-will-survive,You’re Not Ready for What’s Coming,https://www.nexubis.io/post/youre-not-ready-for-whats-coming,/post/youre-not-ready-for-whats-coming,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,bus,,LIVE_200
The Builders Will Survive,the-builders-will-survive,post-the-builders-will-survive,The Age of AGI,https://www.nexubis.io/post/the-age-of-agi,/post/the-age-of-agi,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,buy,,LIVE_200
The Discipline of Quitting,the-discipline-of-quitting,post-the-discipline-of-quitting,So I fired myself.,https://www.nexubis.io/post/keep-firing-yourself-part-2,/post/keep-firing-yourself-part-2,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b32,,LIVE_200
The Discipline of Quitting,the-discipline-of-quitting,post-the-discipline-of-quitting,quit hourly billing.,https://www.nexubis.io/post/stop-selling-time-start-delivering-value,/post/stop-selling-time-start-delivering-value,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b3b,,LIVE_200
The Discipline of Quitting,the-discipline-of-quitting,post-the-discipline-of-quitting,Promote faster. Fire faster.,https://www.nexubis.io/post/fire-faster-promote-faster,/post/fire-faster-promote-faster,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b3x,,LIVE_200
The Discipline of Quitting,the-discipline-of-quitting,post-the-discipline-of-quitting,So I pressed pause.,https://www.nexubis.io/post/press-pause,/post/press-pause,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b46,,LIVE_200
The Flex Package,the-flex-package,post-the-flex-package,hello@nexubis.io,mailto:hello@nexubis.io,mailto:hello@nexubis.io,MAILTO,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,buw,,PRESERVED_EXTERNAL
The Flex Package,the-flex-package,post-the-flex-package,book a quick intro call,https://calendly.com/nexubis/intro-call,/contact,BOOKING_CTA,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,bv1,,LIVE_200
The Gold Bar Theory,the-gold-bar-theory,post-the-gold-bar-theory,Not Everyone Wants the Gold Bar.,https://www.nexubis.io/post/not-everyone-wants-the-gold-bar,/post/not-everyone-wants-the-gold-bar,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,bez,,LIVE_200
The Legendary Play,the-legendary-play,post-the-legendary-play,Secret Third Option.,https://www.nexubis.io/post/the-secret-third-option,/post/the-secret-third-option,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b72,,LIVE_200
The Legendary Play,the-legendary-play,post-the-legendary-play,Memorability in business,https://www.nexubis.io/post/make-it-memorable,/post/make-it-memorable,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b8f,,LIVE_200
The Legendary Play,the-legendary-play,post-the-legendary-play,Not every hill is worth dying on.,https://www.nexubis.io/post/pick-your-battles,/post/pick-your-battles,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b8l,,LIVE_200
The Work-Life Balance Lie,the-work-life-balance-lie,post-the-work-life-balance-lie,you can read it here,/post/keep-firing-yourself,/post/keep-firing-yourself,INTERNAL_BLOG,MANUAL_REVIEW_REQUIRED,"Expected one text range, found 0.",,,LIVE_200
Welcome to Dreamlab,welcome-to-dreamlab,post-welcome-to-dreamlab,"""How It All Started (and Almost Didn’t)""",http://www.nexubis.io/post/how-it-all-started-and-almost-didnt,/post/how-it-all-started-and-almost-didnt,INTERNAL_BLOG,MANUAL_REVIEW_REQUIRED,"Expected one text range, found 0.",,,LIVE_200
Welcome to Dreamlab,welcome-to-dreamlab,post-welcome-to-dreamlab,“What early stage founders spend too much time on”,http://www.nexubis.io/post/what-early-stage-founders-spend-way-too-much-time-on,/post/what-early-stage-founders-spend-way-too-much-time-on,INTERNAL_BLOG,MANUAL_REVIEW_REQUIRED,"Expected one text range, found 0.",,,LIVE_200
Welcome to Dreamlab,welcome-to-dreamlab,post-welcome-to-dreamlab,“How We Landed on Empowering Dreams — and Why It Stuck”,http://www.nexubis.io/post/how-we-landed-on-empowering-dreams,/post/how-we-landed-on-empowering-dreams,INTERNAL_BLOG,MANUAL_REVIEW_REQUIRED,"Expected one text range, found 0.",,,LIVE_200
Welcome to Dreamlab,welcome-to-dreamlab,post-welcome-to-dreamlab,AI Isn’t Coming — It’s Already Here,http://www.nexubis.io/post/ai-isnt-coming-its-already-here,/post/ai-isnt-coming-its-already-here,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b9w,,LIVE_200
You’re Not Ready for What’s Coming,youre-not-ready-for-whats-coming,post-youre-not-ready-for-whats-coming,The New Creative Stack,https://www.nexubis.io/post/the-new-creative-stack,/post/the-new-creative-stack,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b1a4,,LIVE_200
You’re Not Ready for What’s Coming,youre-not-ready-for-whats-coming,post-youre-not-ready-for-whats-coming,Automation Is Not the Enemy,https://www.nexubis.io/post/automation-is-not-the-enemy,/post/automation-is-not-the-enemy,INTERNAL_BLOG,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b1a4,,LIVE_200
AI Is Not a Phase. It's an Era.,ai-is-not-a-phase-its-an-era,post-ai-is-not-a-phase-its-an-era,Flux Academy's,https://www.flux-academy.com/,https://www.flux-academy.com/,EXTERNAL,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b2b,,PRESERVED_EXTERNAL
AI Is Not a Phase. It's an Era.,ai-is-not-a-phase-its-an-era,post-ai-is-not-a-phase-its-an-era,Ship Studio,https://www.ship.studio/,https://www.ship.studio/,EXTERNAL,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b2p,,PRESERVED_EXTERNAL
AI Is Not a Phase. It's an Era.,ai-is-not-a-phase-its-an-era,post-ai-is-not-a-phase-its-an-era,Claude Code,https://claude.ai/,https://claude.ai/,EXTERNAL,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b2t,,PRESERVED_EXTERNAL
AI Is Not a Phase. It's an Era.,ai-is-not-a-phase-its-an-era,post-ai-is-not-a-phase-its-an-era,GitHub,https://github.com/,https://github.com/,EXTERNAL,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b2x,,PRESERVED_EXTERNAL
AI Is Not a Phase. It's an Era.,ai-is-not-a-phase-its-an-era,post-ai-is-not-a-phase-its-an-era,Vercel,https://vercel.com/,https://vercel.com/,EXTERNAL,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b31,,PRESERVED_EXTERNAL
AI Is Not a Phase. It's an Era.,ai-is-not-a-phase-its-an-era,post-ai-is-not-a-phase-its-an-era,Sanity,https://www.sanity.io/,https://www.sanity.io/,EXTERNAL,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b35,,PRESERVED_EXTERNAL
AI Is Not a Phase. It's an Era.,ai-is-not-a-phase-its-an-era,post-ai-is-not-a-phase-its-an-era,Figma MCP,https://www.figma.com/,https://www.figma.com/,EXTERNAL,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b3b,,PRESERVED_EXTERNAL
AI Is Not a Phase. It's an Era.,ai-is-not-a-phase-its-an-era,post-ai-is-not-a-phase-its-an-era,Wispr,https://wisprflow.ai/,https://wisprflow.ai/,EXTERNAL,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b3g,,PRESERVED_EXTERNAL
AI Is Not a Phase. It's an Era.,ai-is-not-a-phase-its-an-era,post-ai-is-not-a-phase-its-an-era,lekkeweb.co.za.,https://lekkeweb.co.za/,https://lekkeweb.co.za/,EXTERNAL,ALREADY_CORRECT,Correct link mark exists on the matched source text range.,b3n,,PRESERVED_EXTERNAL
